"","NAME","less40k","over100k","highschool","NotInLaborForce","under35","under55","under65","WHITEMALE","WHITEFEMALE","BLACKMALE","BLACKFEMALE","HISPANICFEMALE","HISPANICMALE","state_po","state_fips","percent"
"1","alabama",0.409731713754482,0.212640659823662,0.434595213046867,0.424479008832033,0.372972099083981,0.41164731483188,0.215380586084139,0.404070190414294,0.438997261319288,0.141514131527809,0.173790469908463,0.0194792303240179,0.022018734257436,"AL",1,0.620316431668648
"2","alaska",0.23716182611922,0.376785108113015,0.353018807039608,0.324606589323257,0.413325304832154,0.391592152140097,0.195082543027748,0.395000250890662,0.347449445531637,0.0212313713683577,0.0162537006372623,0.0326639570475187,0.0368909629183602,"AK",2,0.528331432703808
"3","arizona",0.336891759240966,0.259734107840956,0.35903567767273,0.399316827467297,0.410818889622928,0.404959830276361,0.184221280100711,0.357418923363511,0.37816973639815,0.0219659347700962,0.0202590582124296,0.135786708478527,0.134531360312568,"AZ",4,0.490559810304647
"4","arkansas",0.428051475254971,0.185832302164548,0.467341845600926,0.419321664421571,0.383326048103211,0.410974401684311,0.205699550212479,0.440008069793367,0.475585512651729,0.0793653831729289,0.0930540288184736,0.0350094535560114,0.038660000465565,"AR",5,0.623957298561443
"5","california",0.274546072580857,0.37716947814465,0.364442935858248,0.362597823637806,0.408801405951259,0.415230034927941,0.175968559120799,0.246873825150335,0.256147567039008,0.0251587204530719,0.0262179673115343,0.15651644564763,0.15525282713874,"CA",6,0.343207236252849
"6","colorado",0.265239921563299,0.345787377721855,0.2911913953046,0.31792128198892,0.403778274737126,0.412840292074134,0.18338143318874,0.414101182072928,0.420341992375599,0.0217327256582187,0.0186558152599281,0.0938316885830623,0.0966160395371884,"CO",8,0.416041256349124
"7","connecticut",0.260507781893947,0.394044556759604,0.353900542542699,0.339736577045391,0.368065560289126,0.416527029784392,0.215407409926482,0.391687251513334,0.434212478899888,0.0524677856166798,0.0600750329254494,0.0798071156069722,0.0767139783217605,"CT",9,0.391871182883307
"8","delaware",0.289321868755539,0.310941809194048,0.404255225263653,0.378320725903377,0.372491478114033,0.40525899602417,0.222249525861797,0.393852900591649,0.437503544222445,0.115757455468814,0.135590924270205,0.0446036456659673,0.0468750984506235,"DE",10,0.397748767711055
"9","district of columbia",0.274268072267974,0.445802535989817,0.247333590976641,0.293057946265744,0.484127481636626,0.375549426236762,0.140323092126611,0.231638470161362,0.235080680846043,0.197515044691584,0.258551137201687,0.0515630992064663,0.0533736245906959,"DC",11,0.0539732137671479
"10","florida",0.358772158978614,0.243441221533105,0.397260602624946,0.410515593583949,0.361940638224441,0.426919070904343,0.211140290871216,0.364990060601262,0.398618194728098,0.0727774898286613,0.0822628429772922,0.132069807112577,0.124224052726438,"FL",12,0.51219819622504
"11","georgia",0.346835610745776,0.265122520550453,0.396492065590641,0.366626623197788,0.383711315068076,0.428163034046916,0.188125650885008,0.318448872506911,0.338286471940353,0.156376358278391,0.188249665558402,0.0429326788859293,0.0475748497683733,"GA",13,0.492374738997912
"12","hawaii",0.234571985790903,0.397623981333148,0.348151337333642,0.346860648517282,0.390038576630494,0.407411845294775,0.202549578074731,0.165384313584106,0.142528879453862,0.0149386357997069,0.00836427876122147,0.0487212875560146,0.051261958437339,"HI",15,0.339547141694148
"13","idaho",0.350968559129408,0.224024139376008,0.354396583035315,0.368712602807813,0.393560480929375,0.408808894578189,0.197630624492436,0.491999421893711,0.507191057246287,0.00460334338137121,0.00235113763059008,0.0583431404935927,0.0624647286341551,"ID",16,0.638375648319036
"14","illinois",0.310412382323724,0.317790634761647,0.359025521774667,0.347626904086131,0.383075912167718,0.4190247841796,0.197899303652682,0.365772769243328,0.391102699710505,0.0665670785166808,0.0798650128485626,0.078921494810976,0.0822818630854829,"IL",17,0.405534508181737
"15","indiana",0.352768556410453,0.231505447166396,0.438589801575396,0.362395213146773,0.382231774331645,0.409940066207056,0.207828159461299,0.472745772900513,0.508021504654853,0.0488209252167263,0.0554818440728691,0.0329755351920882,0.0353444389243812,"IN",18,0.570211577657051
"16","iowa",0.323177183551131,0.252098622412331,0.382814281587789,0.329441733811399,0.385508095867901,0.400016031421586,0.214475872710513,0.526422788665785,0.560959981563865,0.0212556610957477,0.0181150054106048,0.028617089495411,0.0307507715121638,"IA",19,0.528001976319458
"17","kansas",0.331815480855488,0.257053719048517,0.344980360775945,0.333595080494908,0.397781134407352,0.399071948379759,0.203146917212889,0.458590020545242,0.487432912317547,0.0333491926382031,0.0298278110617882,0.0541428456314801,0.0581502712762327,"KS",20,0.562125128342647
"18","kentucky",0.405793667539481,0.207115918317462,0.454718105936053,0.40536822300808,0.371590153498916,0.414061093334203,0.214348753166881,0.512090857407772,0.552987749292192,0.0462871466101082,0.0486420159155706,0.0163912230434098,0.0203059628806814,"KY",21,0.620865718692904
"19","louisiana",0.423634533431216,0.222838556203316,0.474127255121802,0.407508784316724,0.386703355719931,0.405326922094841,0.207969722185228,0.3617473228373,0.385803152147755,0.168585398678033,0.197183300739756,0.0252888111404948,0.0303175345436849,"LA",22,0.584608824140085
"20","maine",0.349926150296202,0.241467992806128,0.380687815876668,0.369884134056878,0.332608601069333,0.410781792340639,0.256609606590028,0.587983060843671,0.644271674288642,0.00879347185025476,0.00646578812518733,0.0093131520173259,0.00984975200379004,"ME",23,0.435512281104183
"21","maryland",0.227883678788901,0.422259346527578,0.335927358958561,0.3239986331209,0.366643698824299,0.427147121450847,0.206209179724854,0.302737305363212,0.327417646779345,0.151154369224024,0.182431554101327,0.0476384564162882,0.0513643597772224,"MD",24,0.321502915677488
"22","massachusetts",0.264739176396382,0.411832372682758,0.32461984440945,0.328096829443336,0.394039441803054,0.402334106702021,0.203626451494925,0.411991691048734,0.460818821105291,0.0375741666557818,0.0411882094201857,0.0599902934338223,0.0574793623218694,"MA",25,0.31908157588631
"23","michigan",0.351483504237948,0.250152920897139,0.372350216832607,0.385294486085888,0.373603944881332,0.402525257414374,0.223870797704294,0.463894848964519,0.492601786138642,0.0728058065275657,0.0851473006972742,0.0258330895002291,0.0264649737518998,"MI",26,0.478372906911376
"24","minnesota",0.269574117531866,0.334100932328515,0.308625413484717,0.307391109483152,0.374276912116262,0.411668480242231,0.214054607641508,0.487163781179817,0.513038541495629,0.0336490160772778,0.031873196280825,0.0252318918422495,0.0277126405752977,"MN",27,0.452849424091694
"25","mississippi",0.451656745690397,0.174097287743323,0.44775534614283,0.426525205916269,0.378803425432636,0.411659484116789,0.209537090450575,0.350667328096832,0.377968019743798,0.201069383916582,0.241298665343806,0.0148660199947969,0.01797765033936,"MS",28,0.576029545753825
"26","missouri",0.36072040789871,0.235300500596185,0.399596628225681,0.369796299763153,0.37788873381842,0.403902444831301,0.218208821350279,0.484462603187781,0.522425510320007,0.0612668673640266,0.072057218674119,0.0210706349294665,0.0219815625151228,"MO",29,0.567996557788895
"27","montana",0.365722378941316,0.224782703197926,0.340871226969816,0.364945849846075,0.374992231964896,0.389932626505294,0.23507514152981,0.555294010655471,0.564839978476859,0.00440466536820486,0.00213715697493767,0.0210320497760532,0.0199801441444172,"MT",30,0.569184692400203
"28","nebraska",0.319509573537625,0.261092289534969,0.341618368610763,0.306533858648612,0.396900597986311,0.402206129399127,0.200893272614561,0.47953659609976,0.506731486637191,0.0259582214047867,0.0243761051547335,0.04858106413486,0.0533392432657529,"NE",31,0.582241633320542
"29","nevada",0.326503137623999,0.259957655274613,0.410110229150548,0.365721009509198,0.389234216072193,0.427342181505298,0.183423602422509,0.312565207812883,0.309210356767272,0.0427256138367342,0.0442910170132639,0.122111423785316,0.124176043428923,"NV",32,0.476662473245594
"30","new hampshire",0.247484667419747,0.370201696498552,0.340219242515667,0.326547245683216,0.352297961068269,0.404726989061951,0.24297504986978,0.552522163405798,0.586721486734695,0.0108522511111337,0.00694169271635921,0.019434255994816,0.0211942330552818,"NH",33,0.453562595046776
"31","new jersey",0.253103926700113,0.41837367422121,0.364796763952222,0.342412372032334,0.357009048294498,0.434849129527633,0.20814182217787,0.331073106053584,0.362558029858332,0.0631528241310763,0.0742795751628815,0.0979907097966745,0.096218369667135,"NJ",34,0.413965238573485
"32","new mexico",0.414902165847057,0.208402702214293,0.396524972126012,0.424168480331382,0.398601949954249,0.397425197939987,0.203972852105764,0.295616840104395,0.316134374996648,0.0104808163676873,0.00734531396322999,0.200680199136047,0.191009271347,"NM",35,0.434966692461295
"33","new york",0.313567428193082,0.345122190032348,0.382315112940675,0.36936584084169,0.388208835916342,0.409912865727319,0.20187829835634,0.319138753159421,0.348408183729222,0.07160523082649,0.0877248449996222,0.0960382491742067,0.090005196049028,"NY",36,0.374612938400909
"34","north carolina",0.368785433901856,0.236631259453454,0.369410012128047,0.376144526238722,0.378525858916726,0.421079676102047,0.200394464981227,0.384524888318842,0.416010504147133,0.10968817642216,0.132957708413517,0.0419247790943028,0.0454973137850004,"NC",37,0.499343324882955
"35","north dakota",0.304314499154944,0.29240517463449,0.329923119441234,0.296929727314708,0.43704781369666,0.3656300178343,0.19732216846904,0.526657422313334,0.517081043771531,0.020252160058194,0.0136288771003867,0.0176131796097946,0.0211986385588728,"ND",38,0.651140487370757
"36","ohio",0.356545628029334,0.242942264043942,0.420293735494324,0.36848028675439,0.371519462415556,0.406156958642426,0.222323578942018,0.482524007023151,0.522926287494983,0.0671795721390371,0.07675832578934,0.0194847723231644,0.0203600159881467,"OH",39,0.532713001008746
"37","oklahoma",0.382447750464339,0.215918803346619,0.42564556147767,0.38855211441493,0.399999389030579,0.402221026589007,0.197779584380414,0.405979252242162,0.432333418232626,0.0403411653248887,0.0406279390970407,0.0467639813669601,0.0529687576967827,"OK",40,0.65373271848063
"38","oregon",0.319223167504352,0.282798443158795,0.315171334168696,0.373776193206123,0.385496761948642,0.41613094552475,0.198372292526608,0.458576151369231,0.48895245987034,0.0111928097552422,0.00912912148838617,0.058970528317262,0.064002186780636,"OR",41,0.403672460463434
"39","pennsylvania",0.330084902236367,0.282050485384633,0.431851931446481,0.372026087482949,0.372502505178322,0.404142561919479,0.2233549329022,0.464364761587552,0.506154662061808,0.0592737341523349,0.0664292763024664,0.037537053529097,0.0383877182173518,"PA",42,0.488436120401725
"40","rhode island",0.315898842599924,0.318108402417604,0.387952034746483,0.350241026008944,0.397377696866406,0.39430736852978,0.208314934603814,0.416929413435592,0.468528488980129,0.0336070547830241,0.0333191308052833,0.0741681837548902,0.0731636776800816,"RI",44,0.386703804715759
"41","south carolina",0.381873932675707,0.221294765180851,0.405496059073753,0.395852126043809,0.374132607691047,0.411513557003485,0.214353835305468,0.398775540012507,0.431806870158268,0.141027694569896,0.171590404878201,0.0270099843321655,0.0312607973350566,"SC",45,0.550934809171965
"42","south dakota",0.338559859696803,0.233201799086519,0.380029780575068,0.320740735348712,0.389040657128545,0.389731528501703,0.221227814369752,0.521697271709841,0.534700923458528,0.014562302259019,0.00885656132274866,0.0182252240676495,0.0215957825189059,"SD",46,0.617693896722502
"43","tennessee",0.379858714384058,0.22218064045167,0.436010260122537,0.384997393899334,0.376892910651804,0.415621005513406,0.207486083834789,0.449477899375474,0.487436857237149,0.0882231928996968,0.103560191774236,0.0245737327478774,0.0277687502587232,"TN",47,0.606602941662838
"44","texas",0.326149724603053,0.29084024624504,0.403459518453564,0.351888410636971,0.41061548851841,0.420804447112269,0.168580064369321,0.295322968140472,0.308928288967595,0.0495891144044368,0.0550862438282459,0.156362710859124,0.155306529859238,"TX",48,0.520576036035526
"45","utah",0.247275949465524,0.320694598352831,0.298045675824952,0.311679280086738,0.443724749034894,0.403719637996173,0.152555612968933,0.439838112997016,0.450902669347622,0.00682033481984057,0.00473753973692192,0.0642717799519974,0.0674376284780338,"UT",49,0.581298390299196
"46","vermont",0.323390852558753,0.270777490203016,0.347552189717455,0.345702732929942,0.367386963973355,0.389324017678877,0.243289018347767,0.579255841425214,0.619853652010834,0.00900855421413048,0.00574992616973641,0.0121409766797332,0.0112827787439516,"VT",50,0.303810571262211
"47","virginia",0.266931446551858,0.365144579020611,0.335466582440964,0.341745196040444,0.379277433070985,0.421748000194518,0.198974566734497,0.372538470442467,0.394213046834386,0.100107909702421,0.112987896716271,0.0457313168271328,0.0485088529791091,"VA",51,0.439955036672821
"48","washington",0.259426357851928,0.355663678786236,0.30099248601525,0.353350294726844,0.396476625370339,0.411312406377268,0.192210968252393,0.410575096225143,0.424356248527989,0.022861738879095,0.0186918087214397,0.0557135084139709,0.0602349182117126,"WA",53,0.387669777433433
"49","west virginia",0.436361650866452,0.179726584628405,0.523553415496441,0.462606339862065,0.346787475661316,0.416299938067656,0.236912586271027,0.583951974695954,0.627473769697168,0.0261907425242386,0.0206013712421118,0.00865597719871188,0.00937260989807991,"WV",54,0.686315519246161
"50","wisconsin",0.318064199315058,0.264005858815108,0.376816558424436,0.338708771513196,0.368975047724881,0.407903536266944,0.223121416008175,0.500775810159915,0.525908358713472,0.0325221733680628,0.0349791258165831,0.031853945741397,0.0341914207819849,"WI",55,0.488224373196088
"51","wyoming",0.305822225892108,0.27799531510076,0.349738683719474,0.341255307021631,0.384942027819379,0.398766063368382,0.216291908812239,0.528435828287102,0.522774877943058,0.00684712838495501,0.00373243768671922,0.0462739214734563,0.0529782932014089,"WY",56,0.694997899484027
